Rk,Player,Tm,Pos,Shift,GP▼,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60
98,Sebastian Aho\ahose01,CAR,C,0:59,82,,16:02,3.4,3.7,2.6,,3:00,4.1,7.8,1.2,,1:06,6.5,3.3,6.6
99,Steven Stamkos\stamkst01,TBL,C,0:50,82,,14:04,0.8,3.6,3.3,,3:36,6.7,12.3,0.6,,0:36,0.1,2.5,2.5
100,Teuvo Teravainen\teravte01,CAR,LW,1:02,82,,14:17,0.9,3.3,1.8,,2:43,4.7,7.5,1.1,,0:53,9.6,4.1,6.6
101,Travis Konecny\konectr01,PHI,C,0:41,82,,13:37,2.2,3.0,3.0,,1:37,-4.2,5.9,1.8,,0:00,-14.4,0.0,0.0
102,Travis Sanheim\sanhetr01,PHI,D,0:34,82,,17:55,1.3,3.0,3.0,,1:02,-10.6,4.3,2.2,,0:35,3.1,0.0,8.0
103,Tyler Seguin\seguity01,DAL,C,0:38,82,,16:53,3.6,3.2,2.4,,2:59,3.0,8.5,0.5,,0:52,3.5,0.0,10.2
104,Tyler Toffoli\toffoty01,LAK,C,0:32,82,,13:51,6.1,2.3,2.9,,2:03,-2.9,5.3,2.5,,1:17,7.9,0.5,7.7
105,William Karlsson\karlswi01,VEG,C,1:03,82,,14:53,-0.9,3.0,3.2,,2:25,-0.9,5.8,0.0,,1:31,12.5,1.9,4.8
106,Zach Werenski\werenza01,CBJ,D,0:58,82,,19:09,1.4,2.9,3.3,,2:27,2.0,5.9,0.6,,1:17,9.5,0.6,7.4
107,Adrian Kempe\kempead01,LAK,LW,0:45,81,,12:36,4.3,2.0,2.4,,1:21,-3.8,3.3,2.2,,0:32,5.1,0.0,2.2
108,Alex Ovechkin\ovechal01,WSH,LW,0:43,81,,16:30,-0.1,4.1,3.6,,4:24,5.6,7.9,0.8,,0:00,,0.0,0.0
109,Anthony Beauvillier\beauvan01,NYI,LW,0:38,81,,12:59,2.5,2.5,2.3,,1:39,-6.3,3.5,0.4,,0:00,,0.0,0.0
110,Anze Kopitar\kopitan01,LAK,C,0:40,81,,17:30,-1.2,2.7,3.3,,2:50,0.4,7.1,2.1,,1:57,-2.0,0.7,10.0
111,Brayden McNabb\mcnabbr01,VEG,D,0:40,81,,16:36,-4.0,3.0,2.6,,0:03,11.7,0.0,0.0,,2:48,-14.3,0.5,8.2
112,Brett Connolly\connobr01,WSH,RW,0:51,81,,12:22,1.4,3.4,2.5,,0:56,-6.1,4.7,1.6,,0:01,,0.0,0.0
113,Charlie Coyle\coylech01,TOT,C/RW,0:54,81,,14:00,-1.2,1.4,1.8,,1:44,-10.0,6.8,0.0,,1:02,-11.9,0.0,19.5
114,Chris Tierney\tiernch01,OTT,C,0:40,81,,13:37,-2.7,2.9,4.0,,1:43,-4.1,7.7,1.3,,1:41,3.6,0.4,7.4
115,David Krejci\krejcda01,BOS,C,0:46,81,,15:15,4.8,3.4,2.6,,2:15,-4.3,7.9,3.0,,0:10,0.4,0.0,8.5
116,Derek Forbort\forbode01,LAK,D,0:46,81,,18:24,-4.3,1.8,2.4,,0:03,-50.7,14.1,0.0,,2:17,1.2,0.9,9.7
117,Derek Ryan\ryande01,CGY,C,0:42,81,,10:11,1.5,2.9,1.5,,1:41,-1.4,4.8,1.3,,1:55,-4.8,1.9,7.3
118,Elias Lindholm\lindhel01,CGY,C,0:46,81,,14:33,1.9,3.9,2.7,,3:12,0.3,8.8,0.7,,2:16,0.0,3.2,6.8
119,Eric Staal\staaler01,MIN,C,0:39,81,,15:03,3.1,2.7,3.0,,2:48,2.7,7.8,0.5,,0:15,9.8,2.9,0.0
120,Frank Vatrano\vatrafr01,FLA,LW,0:40,81,,12:59,0.7,2.3,2.7,,1:39,0.7,7.2,0.9,,0:01,-18.3,0.0,32.4
121,Gustav Nyquist\nyquigu01,TOT,RW,0:39,81,,15:20,7.1,3.3,3.2,,2:09,-1.0,5.4,1.4,,0:01,19.9,0.0,36.4
122,Jason Zucker\zuckeja01,MIN,LW,0:48,81,,14:39,3.4,2.1,2.6,,2:14,1.8,6.8,0.6,,0:10,15.9,4.2,0.0
123,Jimmy Vesey\veseyji02,NYR,LW,0:43,81,,13:04,-0.2,2.5,2.9,,1:40,3.4,5.3,0.4,,1:17,2.9,0.6,9.2
124,Jonathan Drouin\drouijo01,MTL,LW,0:39,81,,14:00,-2.3,2.9,3.2,,2:51,0.0,5.7,0.8,,0:03,29.0,0.0,0.0
125,Jordan Greenway\greenjo02,MIN,LW,0:39,81,,12:56,-3.0,1.9,2.5,,0:39,-6.0,3.7,0.9,,0:01,31.2,0.0,0.0
126,Jordie Benn\bennjo01,MTL,D,0:36,81,,15:23,-1.1,3.2,2.7,,0:01,-86.8,0.0,28.3,,2:46,-1.3,1.1,6.1
127,Lars Eller\ellerla01,WSH,C,0:37,81,,12:54,3.2,3.0,3.2,,1:17,-2.6,2.9,0.6,,2:20,-1.1,1.3,7.0
128,Lawson Crouse\crousla01,ARI,LW,0:31,81,,11:34,-5.3,2.2,2.2,,0:04,-9.0,0.0,0.0,,1:17,-0.7,2.2,5.6
129,Logan Couture\coutulo01,SJS,C,0:47,81,,14:08,-0.9,3.6,4.0,,2:53,1.7,9.2,1.3,,1:33,2.7,1.4,6.8
130,Loui Eriksson\erikslo01,VAN,LW,0:29,81,,11:36,-1.4,2.1,2.6,,1:16,-3.7,2.9,2.9,,1:11,4.7,0.6,3.0
131,Lucas Wallmark\wallmlu01,CAR,C,0:34,81,,12:40,-1.2,2.0,2.4,,1:14,0.1,5.4,1.2,,0:52,-8.2,0.0,6.7
132,Mattias Janmark\janmama02,DAL,C,0:36,81,,13:23,0.2,1.6,1.9,,0:19,-2.4,1.9,0.0,,1:29,0.8,0.5,4.5
133,Nick Bonino\boninni01,NSH,C,0:40,81,,12:42,-4.9,3.0,1.5,,1:39,0.5,4.0,0.4,,1:56,0.2,0.8,7.6
134,Nick Cousins\cousini01,ARI,C,0:25,81,,12:39,1.5,2.2,2.6,,0:52,1.3,6.8,1.7,,0:00,-17.1,0.0,14.3
135,Nikita Zaitsev\zaitsni01,TOR,D,0:49,81,,17:32,-4.0,2.6,2.7,,0:04,-25.5,0.0,0.0,,2:51,4.0,1.0,7.5
136,Oliver Ekman-Larsson\ekmanol01,ARI,D,0:41,81,,18:49,4.6,2.2,2.9,,3:33,5.4,5.4,0.8,,1:15,1.1,2.2,6.1
137,Oskar Lindblom\lindbos01,PHI,LW,0:43,81,,11:50,3.0,2.7,3.0,,1:05,-2.6,4.2,2.8,,0:48,-3.9,0.0,8.1
138,Patrick Kane\kanepa01,CHI,RW,0:54,81,,18:43,0.6,4.0,3.7,,3:42,4.5,8.4,1.0,,0:03,17.0,0.0,0.0
139,Phillip Danault\danauph01,MTL,LW,0:37,81,,14:47,3.9,3.7,2.9,,0:28,5.5,9.1,0.0,,2:30,2.1,0.6,6.8
140,Radek Faksa\faksara01,DAL,C,0:43,81,,13:55,-3.7,2.0,2.3,,0:53,1.8,5.5,0.0,,1:37,-0.5,1.4,5.5
141,Ron Hainsey\hainsro01,TOR,D,0:38,81,,17:22,-4.2,3.8,2.6,,0:02,-2.1,5.2,0.0,,2:50,-1.5,1.0,8.4
142,Ryan Strome\stromry01,TOT,C,0:42,81,,13:07,3.2,1.8,1.8,,1:20,-19.0,4.4,2.2,,1:06,-3.3,0.0,5.9
143,Brandon Saad\saadbr01,CHI,LW,0:51,80,,14:31,5.1,3.0,3.5,,1:28,-1.7,4.6,1.5,,1:41,11.3,1.8,7.5
144,Brandon Tanev\tanevbr01,WPG,LW,0:48,80,,11:56,-0.1,2.1,1.8,,0:03,13.7,0.0,0.0,,2:06,-4.3,1.4,5.7
145,Cam Atkinson\atkinca01,CBJ,RW,0:48,80,,15:21,2.4,3.8,3.8,,2:41,0.8,5.3,0.6,,1:20,7.9,2.8,2.8
146,Cedric Paquette\paquece01,TBL,C,0:29,80,,9:56,-6.9,2.4,2.2,,0:02,-60.4,0.0,0.0,,2:00,-3.4,1.1,5.2
147,Colton Parayko\parayco01,STL,D,0:47,80,,20:03,-2.4,2.7,1.9,,1:18,2.5,7.6,0.6,,1:24,-2.9,0.0,3.0
148,Erik Johnson\johnser01,COL,D,0:44,80,,18:21,-2.2,2.9,2.8,,0:21,-8.8,7.4,0.0,,3:06,-0.9,1.2,7.0
149,Greg Pateryn\patergr01,MIN,D,0:51,80,,15:19,-2.6,2.0,2.5,,0:02,-23.9,3.6,0.0,,1:45,-6.0,0.0,4.7
150,Ivan Barbashev\barbaiv01,STL,C,0:37,80,,9:53,-3.9,2.1,2.6,,0:03,11.2,0.0,0.0,,1:34,6.2,0.9,7.9
151,Jake Muzzin\muzzija01,TOT,D,0:42,80,,18:24,3.9,2.8,2.0,,1:10,-0.6,3.2,2.1,,1:45,-1.5,0.0,6.0
152,John Carlson\carlsjo01,WSH,D,0:42,80,,18:24,3.4,4.3,3.5,,4:04,5.3,8.5,0.7,,2:34,2.4,0.9,6.4
153,Joonas Donskoi\donskjo01,SJS,RW,0:44,80,,12:47,-0.1,3.2,2.5,,0:35,-0.8,6.4,1.3,,0:02,33.7,0.0,8.7
154,Magnus Paajarvi\paajama01,OTT,LW,0:50,80,,11:25,-3.1,1.8,2.9,,0:05,-23.6,0.0,0.0,,1:57,-6.9,0.8,7.7
155,Marcus Sorensen\sorenma01,SJS,RW,0:31,80,,11:36,-1.4,3.0,2.5,,0:18,-10.7,4.9,2.5,,1:03,-5.1,2.0,6.0
156,Markus Nutivaara\nutivma01,CBJ,D,0:41,80,,17:20,-2.1,2.6,2.5,,0:10,6.4,4.3,0.0,,0:09,-21.1,0.0,4.5
157,Matt Niskanen\niskama01,WSH,D,0:37,80,,18:35,-3.2,2.4,2.6,,0:34,0.6,2.6,0.0,,2:45,-2.5,0.5,8.7
158,Matthew Tkachuk\tkachma01,CGY,LW,0:57,80,,14:20,4.6,3.6,2.7,,3:12,0.6,9.1,0.7,,0:02,59.1,0.0,102.9
159,Mattias Ekholm\ekholma01,NSH,D,0:46,80,,19:45,3.1,3.0,2.0,,1:22,-4.6,4.9,1.6,,2:13,2.0,1.0,6.7
160,Nick Jensen\jenseni02,TOT,D,0:41,80,,17:21,1.1,2.5,2.6,,0:03,-34.6,0.0,0.0,,2:26,-0.2,0.7,6.2
161,Nicklas Backstrom\backsni02,WSH,C,0:37,80,,15:19,1.3,3.4,3.1,,3:41,8.7,8.9,0.8,,0:55,4.8,0.0,7.2
162,Noah Hanifin\hanifno01,CGY,D,0:44,80,,17:56,-1.8,3.1,2.5,,1:07,-3.1,4.0,0.7,,1:42,6.4,2.2,8.0
163,Ryan Johansen\johanry01,NSH,C,0:39,80,,15:05,3.9,3.8,3.5,,3:02,5.1,5.4,1.0,,1:25,8.1,2.1,2.1
164,Ryan Reaves\reavery01,VEG,RW,0:44,80,,10:08,0.3,1.9,1.9,,0:43,-5.3,7.7,0.0,,0:00,,,
165,Sean Couturier\coutuse01,PHI,C,0:40,80,,16:41,7.0,3.9,3.8,,3:07,8.9,7.5,0.7,,2:18,2.6,0.3,6.1
166,Tanner Pearson\pearsta01,TOT,LW,0:31,80,,12:32,-1.6,0.3,3.0,,1:14,0.9,0.0,0.0,,0:16,-10.8,0.0,0.0
